English,Kannada
the,ಯ ೦ ದನು
of,ಇದಕ್ಕೆ
to,ಗೆ
and,ಮತ್ತು
a,ಒಂದು
in,ಒಳಗೆ
is,ಇದೆ
it,ಇದು
you,ನೀವು
that,ಅದು
he,ಅವನು
was,ಸದ್ದಿಲ್ಲದೆ
for,ಇದಕ್ಕೆ
on,ಜ್ವೇರಿತ
are,ಇರು
with,ಜೊತೆ
as,ಹಾಗಾಗ
I,ನಾನು
his,ಅವನ
they,ಅವರು
be,ಬಿಡು
at,ಬಳಿಗೆ
one,ಒಂದು
have,ಹೊಂದುವುದು
this,ಈ
from,ನಿಂದ
or,ಅಥವಾ
had,ಹೊಂದಿದ್ದ
by,ಹಿ ೦ ದೆ
not,ಇಲ್ಲ
word,ಮಾತು
but,ಆದರೆ
what,ಏನು
some,ಕೆಲವು
we,ನಾವು
can,ಮಾಡಬಹುದು
out,ಹೊರಗಡೆ
other,ಬೇರೆ
were,ಇದ್ದ
all,ಎಲ್ಲರೂ
there,ಅಲ್ಲಿ
when,ಯಾವಾಗ
up,ಮೇಲಕ್ಕೆ
use,ಉಪಯೋಗಿಸು
your,ನಿನ್ನ
how,ಹೇಗೆ
said,ಹೇಳಿದ
an,ಒಂದು
each,ಪ್ರತಿ
she,ಅವಳು
which,ಯಾವ
do,ಮಾಡು
their,ಅವರ
time,ಕಾಲ
if,ಇತ್ತು
will,ಇಚ್ will್ಯ
way,ದಾರಿ
about,ಬಗ್ಗೆ
many,ಅನೇಕ
then,ಆಗ
them,ಅವರು
write,ಬರೆಯಿಸು
would,ತಾತ್ಕಾಲಿಕವಾಗಿ
like,ಇಷ್ಟ
so,ಆದ್ದರಿಂದ
these,ಇವು
her,ಅವಳು
long,ಉದ್ದವಾದ
make,ರೂಪಿಸು
thing,ವಿಷಯ
see,ನೋಡಿಸು
him,ಅವನಿಗೆ
two,ಎರಡು
has,ಇದೆ
look,ನೋಟ
more,ಆಫ್
day,ದಿನ
could,ಸಾಧ್ಯವೋ
go,ಹೋಗು
come,ಬಂದು
did,ಮಾಡಿದ
number,ಸಂಖ್ಯೆ
sound,ಶಬ್ದ
no,ಇಲ್ಲ
most,ಅತ್ಯಂತ
people,ಜನರು
my,ನನ್ನ
over,ಆಚೆಗೆ
know,ತಿಳಿದು
water,ನೀರು
than,ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ
call,ಕರೆಯಿಸು
first,ಪ್ರಥಮ
who,WHO
may,ಮೇ
down,ಕೆಳಗೆ
side,ಬದಿ
been,ವಾಚನ
now,ಈಗ
find,ಶೋಧನೆ
any,ಯಾವುದಾದರು
new,ಹೊಸದಾದ
work,ಕೆಲಸ
part,ಭಾಗ
take,ಕೈ
get,ಪಡೆಯು
place,ಸ್ಥಳ
made,ನಿರ್ಮಿತ
live,ಜೀವಿಸು
where,ಎಲ್ಲಿ
